unit,display_name,faction,cost,group,thresholds_xp,thresholds_in_own_cost,bonuses,earns_xp_how,inert_bonuses,buildable,prerequisites_disabled,kills_for_rank1_vs_50cr_target,accrual_rank1_min,accrual_rank2_min,accrual_rank3_min,concealment_base,concealment_rank_steps_under_cap
A10,Attack Aircraft,both/neutral,6000,Group E,600000 1200000 2400000 4800000,1x 2x 4x 8x,"FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:EjectOnDeath,WithDecoration","kills (30mm.A10, Hellfire); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,120.0,9.0,27.0,80.9,2,4
MEDI,Medic,both/neutral,250,Group A,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"no kill path: armament is non-lethal or ally-only (Heal); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,5.0,3.8,11.2,33.8,3,4
MEDI.america,Medic,America,250,Group A,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: armament is non-lethal or ally-only (Heal); purchase stock (accrual); evacuation credits rank back,,yes,no,5.0,3.8,11.2,33.8,3,4
MEDI.russia,Medic,Russia,250,Group A,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: armament is non-lethal or ally-only (Heal); purchase stock (accrual); evacuation credits rank back,,yes,no,5.0,3.8,11.2,33.8,3,4
MI28,Mi-28,Russia,6000,Group B,600000 1200000 2400000 4800000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (30mm.Heli, Ataka, Ataka.AA); purchase stock (accrual); evacuation credits rank back",,yes,no,120.0,9.0,27.0,80.9,2,4
MIG,MiG-29 Fulcrum,both/neutral,6000,Group E,600000 1200000 2400000 4800000,1x 2x 4x 8x,"FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:EjectOnDeath,WithDecoration","kills (AirToAirMissile, 20mm_CRAM); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,120.0,9.0,27.0,80.9,2,4
MT,Mortar,both/neutral,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (60mm_Mortar); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,6.0,3.9,11.6,34.7,3,4
MT.america,Mortar,America,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (60mm_Mortar); purchase stock (accrual); evacuation credits rank back,,yes,no,6.0,3.9,11.6,34.7,3,4
MT.russia,Mortar,Russia,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (60mm_Mortar); purchase stock (accrual); evacuation credits rank back,,yes,no,6.0,3.9,11.6,34.7,3,4
PILOT,Pilot,not buildable,500,Group A,50000 100000 200000 400000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MP5); not buildable: no accrual; evacuation credits rank back,,no,no,10.0,,,,3,4
PILOTR1,Pilot Rank 1,not buildable,800,Group A,80000 160000 320000 640000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MP5); not buildable: no accrual; ships pre-ranked at level 1; evacuation credits rank back,,no,no,16.0,,,,3,4
PILOTR2,Pilot Rank 2,not buildable,1200,Group A,120000 240000 480000 960000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MP5); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back,,no,no,24.0,,,,3,4
PILOTR3,Pilot Rank 3,not buildable,2000,Group A,200000 400000 800000 1600000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MP5); not buildable: no accrual; ships pre-ranked at level 3; evacuation credits rank back,,no,no,40.0,,,,3,4
PILOTR4,Ace Pilot,not buildable,3000,Group A,300000 600000 1200000 2400000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MP5); not buildable: no accrual; ships pre-ranked at level 4; evacuation credits rank back,,no,no,60.0,,,,3,4
SF,Special Forces,both/neutral,600,Group A,60000 120000 240000 480000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.DMR.silencer); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,12.0,4.5,13.4,40.3,5,4
SF.america,Special Forces,America,600,Group A,60000 120000 240000 480000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (5.56mm.DMR.silencer); purchase stock (accrual); evacuation credits rank back,,yes,no,12.0,4.5,13.4,40.3,5,4
SF.russia,Special Forces,Russia,600,Group A,60000 120000 240000 480000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (5.56mm.DMR.silencer); purchase stock (accrual); evacuation credits rank back,,yes,no,12.0,4.5,13.4,40.3,5,4
SN,Sniper,both/neutral,400,Group A,40000 80000 160000 320000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (7.62mm.Sniper, 7.62mm.Sniper); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,8.0,4.1,12.3,36.9,5,4
SN.america,Sniper,America,400,Group A,40000 80000 160000 320000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (7.62mm.Sniper, 7.62mm.Sniper); purchase stock (accrual); evacuation credits rank back",,yes,no,8.0,4.1,12.3,36.9,5,4
SN.russia,Sniper,Russia,400,Group A,40000 80000 160000 320000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (7.62mm.Sniper, 7.62mm.Sniper); purchase stock (accrual); evacuation credits rank back",,yes,no,8.0,4.1,12.3,36.9,5,4
TECN,Technician,both/neutral,250,Group C,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (Pistol); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,5.0,3.8,11.2,33.8,3,4
TECN.america,Technician,America,250,Group C,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); purchase stock (accrual); evacuation credits rank back,,yes,no,5.0,3.8,11.2,33.8,3,4
TECN.russia,Technician,Russia,250,Group C,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); purchase stock (accrual); evacuation credits rank back,,yes,no,5.0,3.8,11.2,33.8,3,4
TL,Team Leader,both/neutral,200,Group C,20000 40000 80000 160000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (7.62mm.DMR, GrenadeLauncher); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,4.0,3.6,10.8,32.3,3,4
TL.america,Team Leader,America,200,Group C,20000 40000 80000 160000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (7.62mm.DMR, GrenadeLauncher); purchase stock (accrual); evacuation credits rank back",,yes,no,4.0,3.6,10.8,32.3,3,4
TL.russia,Team Leader,Russia,200,Group C,20000 40000 80000 160000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (7.62mm.DMR, GrenadeLauncher); purchase stock (accrual); evacuation credits rank back",,yes,no,4.0,3.6,10.8,32.3,3,4
TRAN,Chinook,America,2000,Group B,200000 400000 800000 1600000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; purchase stock (accrual); evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),yes,no,40.0,6.2,18.6,55.9,2,4
abrams,Abrams M1A2,America,2500,Group B,250000 500000 1000000 2000000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (TankRound.Abrams); purchase stock (accrual); evacuation credits rank back,,yes,no,50.0,6.7,20.0,60.0,2,4
bmp2,BMP-2,Russia,1300,Group B,130000 260000 520000 1040000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (30mm.BMP2, WGM); purchase stock (accrual); evacuation credits rank back",,yes,no,26.0,5.5,16.4,49.3,2,4
bradley,Bradley,America,1500,Group B,150000 300000 600000 1200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (25mm.Bradley, WGM.bradley); purchase stock (accrual); evacuation credits rank back",,yes,no,30.0,5.7,17.1,51.2,2,4
btr,BTR-80,Russia,600,Group B,60000 120000 240000 480000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (12.7mm.MG); purchase stock (accrual); evacuation credits rank back,,yes,no,12.0,4.5,13.4,40.3,2,4
crew.commander.america,Commander,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.commander.russia,Commander,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.copilot.america,Copilot,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.copilot.russia,Copilot,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.driver.america,Driver,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.driver.russia,Driver,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.gunner.america,Gunner,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.gunner.russia,Gunner,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.pilot.america,Pilot,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
crew.pilot.russia,Pilot,not buildable,100,Group D,100 200 400 800,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.0,,,,3,4
giatsint,2S5 Giatsint-S,Russia,1800,Group B,180000 360000 720000 1440000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (ArtilleryRound.Giatsint); purchase stock (accrual); evacuation credits rank back,,yes,no,36.0,6.0,18.1,54.2,2,4
grad,BM-21 Grad,Russia,1500,Group B,150000 300000 600000 1200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (GradRockets); purchase stock (accrual); evacuation credits rank back,,yes,no,30.0,5.7,17.1,51.2,2,4
humvee,Humvee,America,500,Group B,50000 100000 200000 400000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (7.62mm.MG); purchase stock (accrual); evacuation credits rank back,,yes,no,10.0,4.3,12.9,38.6,2,4
iskander,Iskander,Russia,6000,Group B,600000 1200000 2400000 4800000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (IskanderTargeter); purchase stock (accrual); evacuation credits rank back,,yes,no,120.0,9.0,27.0,80.9,2,4
littlebird,Littlebird,America,3000,Group B,300000 600000 1200000 2400000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (7.62mm.Minigun, 7.62mm.Minigun.AA, Hellfire.Littlebird); purchase stock (accrual); evacuation credits rank back",,yes,no,60.0,7.1,21.2,63.6,2,4
m109,Paladin,America,1800,Group B,180000 360000 720000 1440000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (ArtilleryRound.Paladin); purchase stock (accrual); evacuation credits rank back,,yes,no,36.0,6.0,18.1,54.2,2,4
m113,M113 APC,America,700,Group B,70000 140000 280000 560000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (12.7mm.MG); purchase stock (accrual); evacuation credits rank back,,yes,no,14.0,4.6,13.9,41.8,2,4
m270,M270 MLRS,America,1800,Group B,180000 360000 720000 1440000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (M270Rockets); purchase stock (accrual); evacuation credits rank back,,yes,no,36.0,6.0,18.1,54.2,2,4
quadcopterdrone,Drone scout,not buildable,,Group B,? ? ? ?,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,,,,,2,4
strykershorad,Stryker SHORAD,America,2500,Group B,250000 500000 1000000 2000000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (25mm.Bradley, Stinger.quad, Hellfire.strykershorad); purchase stock (accrual); evacuation credits rank back",,yes,no,50.0,6.7,20.0,60.0,2,4
t90,T-90,Russia,2400,Group B,240000 480000 960000 1920000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (TankRound.T90); purchase stock (accrual); evacuation credits rank back,,yes,no,48.0,6.6,19.7,59.0,2,4
tos,TOS,Russia,2000,Group B,200000 400000 800000 1600000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (TosRockets); purchase stock (accrual); evacuation credits rank back,,yes,no,40.0,6.2,18.6,55.9,2,4
tunguska,2K22 Tunguska,Russia,1700,Group B,170000 340000 680000 1360000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (30mm.Tunguska.AG, 30mm.Tunguska.AA, 9M311); purchase stock (accrual); evacuation credits rank back",,yes,no,34.0,5.9,17.7,53.2,2,4
